level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	845	1200	-1	
2	1	1	0	0	0	0	57	743	1127	-1	
3	1	1	1	0	0	0	57	743	1127	-1	
4	1	1	1	1	0	332	57	157	22	-1	
5	1	1	1	1	1	332	59	94	20	96.622299	Oktober
5	1	1	1	1	2	434	57	55	20	96.012833	2023
4	1	1	1	2	0	91	107	652	41	-1	
5	1	1	1	2	1	91	103	107	49	39.316353	Ny
5	1	1	1	2	2	234	141	65	4	24.608643	ea
5	1	1	1	2	3	364	103	103	49	24.089485	Menu
5	1	1	1	2	4	511	103	58	49	38.235069	ies
4	1	1	1	3	0	318	218	202	35	-1	
5	1	1	1	3	1	318	218	202	35	91.915466	Voorgerecht
4	1	1	1	4	0	273	257	297	34	-1	
5	1	1	1	4	1	273	261	119	30	84.450157	Kwartel,
5	1	1	1	4	2	404	258	85	31	92.463226	witlof,
5	1	1	1	4	3	503	257	67	27	91.958389	druif
4	1	1	1	5	0	0	347	1	22	-1	
5	1	1	1	5	1	0	347	1	22	78.746712	|
4	1	1	1	6	0	298	419	250	35	-1	
5	1	1	1	6	1	298	424	117	26	90.384171	Tussen
5	1	1	1	6	2	428	419	120	35	90.384171	gerecht
4	1	1	1	7	0	215	457	417	40	-1	
5	1	1	1	7	1	215	464	155	33	92.560684	Kabeljauw
5	1	1	1	7	2	381	461	102	27	92.906097	tomaat
5	1	1	1	7	3	495	457	137	28	89.728828	basilicum
4	1	1	1	8	0	363	500	126	34	-1	
5	1	1	1	8	1	363	500	126	34	93.063202	Spinazie
4	1	1	1	9	0	322	656	216	34	-1	
5	1	1	1	9	1	322	656	216	34	92.074661	Hoofdgerecht
4	1	1	1	10	0	303	695	254	31	-1	
5	1	1	1	10	1	303	699	58	27	92.736404	Kalf
5	1	1	1	10	2	370	698	84	28	77.753876	viees,
5	1	1	1	10	3	468	695	89	26	91.822945	selder
4	1	1	1	11	0	379	853	163	35	-1	
5	1	1	1	11	1	379	853	163	35	91.452927	Nagerecht
4	1	1	1	12	0	134	889	600	42	-1	
5	1	1	1	12	1	134	906	133	25	92.800507	Bananen
5	1	1	1	12	2	281	899	34	27	96.885429	rol
5	1	1	1	12	3	329	898	54	26	93.249954	met
5	1	1	1	12	4	394	892	152	30	92.684090	chocolade
5	1	1	1	12	5	559	896	92	28	96.723160	panna
5	1	1	1	12	6	663	889	71	26	96.196449	cotta
4	1	1	1	13	0	106	1167	637	17	-1	
5	1	1	1	13	1	106	1169	59	12	71.122948	kookstudio
5	1	1	1	13	2	171	1170	58	9	47.247105	mest
5	1	1	1	13	3	203	1160	6	29	77.190826	+
5	1	1	1	13	4	213	1170	16	9	55.776882	eat
5	1	1	1	13	5	253	1167	29	13	49.771461	[wim
5	1	1	1	13	6	288	1167	34	14	55.427399	wolls]
5	1	1	1	13	7	351	1167	88	14	26.999130	fabriekstraat
5	1	1	1	13	8	428	1160	15	29	89.766907	69
5	1	1	1	13	9	467	1169	35	14	46.522182	[5051
5	1	1	1	13	10	510	1169	26	14	66.452179	HN]
5	1	1	1	13	11	564	1169	32	15	38.069645	—goirle.
5	1	1	1	13	12	625	1169	10	14	0.000000	[1.06
5	1	1	1	13	13	644	1168	99	14	74.931458	2255
5	1	1	1	13	14	701	1160	15	29	74.931458	11
5	1	1	1	13	15	723	1160	25	29	76.552185	38]
