level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	845	1200	-1	
2	1	1	0	0	0	332	57	157	22	-1	
3	1	1	1	0	0	332	57	157	22	-1	
4	1	1	1	1	0	332	57	157	22	-1	
5	1	1	1	1	1	332	59	94	20	96.622299	Oktober
5	1	1	1	1	2	434	57	55	20	96.012833	2023
2	1	2	0	0	0	379	107	75	24	-1	
3	1	2	1	0	0	379	107	75	24	-1	
4	1	2	1	1	0	379	107	75	24	-1	
5	1	2	1	1	1	379	107	75	24	96.312134	Menu
2	1	3	0	0	0	318	218	202	35	-1	
3	1	3	1	0	0	318	218	202	35	-1	
4	1	3	1	1	0	318	218	202	35	-1	
5	1	3	1	1	1	318	218	202	35	91.915466	Voorgerecht
2	1	4	0	0	0	273	257	297	34	-1	
3	1	4	1	0	0	273	257	297	34	-1	
4	1	4	1	1	0	273	257	297	34	-1	
5	1	4	1	1	1	273	261	119	30	89.697456	Kwartel,
5	1	4	1	1	2	404	258	85	31	92.293655	witlof,
5	1	4	1	1	3	503	257	67	27	92.804871	druif
2	1	5	0	0	0	298	419	250	35	-1	
3	1	5	1	0	0	298	419	250	35	-1	
4	1	5	1	1	0	298	419	250	35	-1	
5	1	5	1	1	1	298	424	117	26	90.384171	Tussen
5	1	5	1	1	2	428	419	120	35	90.384171	gerecht
2	1	6	0	0	0	215	457	417	40	-1	
3	1	6	1	0	0	215	457	417	40	-1	
4	1	6	1	1	0	215	457	417	40	-1	
5	1	6	1	1	1	215	464	155	33	92.560684	Kabeljauw
5	1	6	1	1	2	381	461	102	27	92.906097	tomaat
5	1	6	1	1	3	495	457	137	28	89.728828	basilicum
2	1	7	0	0	0	363	500	126	34	-1	
3	1	7	1	0	0	363	500	126	34	-1	
4	1	7	1	1	0	363	500	126	34	-1	
5	1	7	1	1	1	363	500	126	34	93.063202	Spinazie
2	1	8	0	0	0	322	656	216	34	-1	
3	1	8	1	0	0	322	656	216	34	-1	
4	1	8	1	1	0	322	656	216	34	-1	
5	1	8	1	1	1	322	656	216	34	92.074661	Hoofdgerecht
2	1	9	0	0	0	303	695	254	31	-1	
3	1	9	1	0	0	303	695	254	31	-1	
4	1	9	1	1	0	303	695	254	31	-1	
5	1	9	1	1	1	303	699	58	27	88.654793	Kalf
5	1	9	1	1	2	370	698	84	28	63.839535	viees,
5	1	9	1	1	3	468	695	89	26	93.174004	selder
2	1	10	0	0	0	379	853	163	35	-1	
3	1	10	1	0	0	379	853	163	35	-1	
4	1	10	1	1	0	379	853	163	35	-1	
5	1	10	1	1	1	379	853	163	35	91.452927	Nagerecht
2	1	11	0	0	0	134	889	600	42	-1	
3	1	11	1	0	0	134	889	600	42	-1	
4	1	11	1	1	0	134	889	600	42	-1	
5	1	11	1	1	1	134	906	133	25	92.800507	Bananen
5	1	11	1	1	2	281	899	34	27	96.885429	rol
5	1	11	1	1	3	329	898	54	26	93.249954	met
5	1	11	1	1	4	394	892	152	30	92.684090	chocolade
5	1	11	1	1	5	559	896	92	28	96.723160	panna
5	1	11	1	1	6	663	889	71	26	96.196449	cotta
2	1	12	0	0	0	106	1170	25	11	-1	
3	1	12	1	0	0	106	1170	25	11	-1	
4	1	12	1	1	0	106	1170	25	11	-1	
5	1	12	1	1	1	106	1170	25	11	64.974899	kook:
2	1	13	0	0	0	180	1167	142	14	-1	
3	1	13	1	0	0	180	1167	142	14	-1	
4	1	13	1	1	0	180	1167	142	14	-1	
5	1	13	1	1	1	180	1170	16	9	71.953629	yoot
5	1	13	1	1	2	203	1171	2	7	90.794395	+
5	1	13	1	1	3	212	1170	17	8	41.957329	oot
5	1	13	1	1	4	253	1167	2	13	38.263580	{
5	1	13	1	1	5	261	1171	21	7	93.837730	wim
5	1	13	1	1	6	287	1167	35	14	19.369919	walls}
2	1	14	0	0	0	351	1167	88	14	-1	
3	1	14	1	0	0	351	1167	88	14	-1	
4	1	14	1	1	0	351	1167	88	14	-1	
5	1	14	1	1	1	351	1167	69	13	82.358231	fabrickstraat
5	1	14	1	1	2	424	1170	15	11	88.764214	69
2	1	15	0	0	0	467	1169	69	14	-1	
3	1	15	1	0	0	467	1169	69	14	-1	
4	1	15	1	1	0	467	1169	69	14	-1	
5	1	15	1	1	1	467	1169	35	14	58.366909	[5051
5	1	15	1	1	2	510	1169	26	14	85.051682	HN]
2	1	16	0	0	0	564	1169	32	15	-1	
3	1	16	1	0	0	564	1169	32	15	-1	
4	1	16	1	1	0	564	1169	32	15	-1	
5	1	16	1	1	1	564	1169	32	15	77.996796	goirle
2	1	17	0	0	0	625	1168	118	15	-1	
3	1	17	1	0	0	625	1168	118	15	-1	
4	1	17	1	1	0	625	1168	118	15	-1	
5	1	17	1	1	1	625	1169	10	14	76.681831	[1.06
5	1	17	1	1	2	644	1168	99	14	71.896706	225511
5	1	17	1	1	3	721	1161	26	28	80.119476	38]
