level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	844	1200	-1	
2	1	1	0	0	0	640	0	24	1	-1	
3	1	1	1	0	0	640	0	24	1	-1	
4	1	1	1	1	0	640	0	24	1	-1	
5	1	1	1	1	1	640	0	24	1	0.000000	BARE,
2	1	2	0	0	0	319	60	157	23	-1	
3	1	2	1	0	0	319	60	157	23	-1	
4	1	2	1	1	0	319	60	157	23	-1	
5	1	2	1	1	1	319	61	94	22	96.698196	Oktober
5	1	2	1	1	2	421	60	55	21	96.973251	2023
2	1	3	0	0	0	356	108	96	21	-1	
3	1	3	1	0	0	356	108	96	21	-1	
4	1	3	1	1	0	356	108	96	21	-1	
5	1	3	1	1	1	356	108	96	21	91.717964	Nagerecht
2	1	4	0	0	0	131	126	544	32	-1	
3	1	4	1	0	0	131	126	544	32	-1	
4	1	4	1	1	0	131	126	544	32	-1	
5	1	4	1	1	1	131	143	77	15	92.869362	Bananen
5	1	4	1	1	2	215	137	21	17	93.162964	rol
5	1	4	1	1	3	249	135	69	22	93.031860	gebakje
5	1	4	1	1	4	325	135	33	15	96.797943	met
5	1	4	1	1	5	364	132	89	17	90.578911	chocolade
5	1	4	1	1	6	460	135	53	16	95.772964	panna
5	1	4	1	1	7	520	131	41	15	94.127937	cotta
5	1	4	1	1	8	568	133	21	12	93.238617	en
5	1	4	1	1	9	595	127	56	17	85.252808	vanille
5	1	4	1	1	10	658	126	17	19	59.964767	ijs
2	1	5	0	0	0	700	171	25	2	-1	
3	1	5	1	0	0	700	171	25	2	-1	
4	1	5	1	1	0	700	171	25	2	-1	
5	1	5	1	1	1	700	171	25	2	26.659454	=|
2	1	6	0	0	0	290	166	229	21	-1	
3	1	6	1	0	0	290	166	229	21	-1	
4	1	6	1	1	0	290	166	229	21	-1	
5	1	6	1	1	1	290	168	92	19	92.764389	Ingrediénten
5	1	6	1	1	2	389	170	32	10	94.378586	voor
5	1	6	1	1	3	428	166	16	13	92.919113	10
5	1	6	1	1	4	450	167	69	15	91.362267	personen
2	1	7	0	0	0	518	189	1	3	-1	
3	1	7	1	0	0	518	189	1	3	-1	
4	1	7	1	1	0	518	189	1	3	-1	
5	1	7	1	1	1	518	189	1	3	78.381165	T
2	1	8	0	0	0	106	192	119	18	-1	
3	1	8	1	0	0	106	192	119	18	-1	
4	1	8	1	1	0	106	192	119	18	-1	
5	1	8	1	1	1	106	192	49	18	89.884583	ananen
5	1	8	1	1	2	161	194	16	13	93.224846	rol
5	1	8	1	1	3	183	193	42	16	89.916008	gebak
2	1	9	0	0	0	312	186	75	19	-1	
3	1	9	1	0	0	312	186	75	19	-1	
4	1	9	1	1	0	312	186	75	19	-1	
5	1	9	1	1	1	312	186	1	19	91.669090	|
5	1	9	1	1	2	320	189	44	13	91.669090	vanille
5	1	9	1	1	3	370	191	17	13	29.705475	js,
2	1	10	0	0	0	322	208	82	15	-1	
3	1	10	1	0	0	322	208	82	15	-1	
4	1	10	1	1	0	322	208	82	15	-1	
5	1	10	1	1	1	322	208	24	12	95.467331	500
5	1	10	1	1	2	352	210	13	13	85.052521	gr
5	1	10	1	1	3	370	209	34	10	85.052521	room
2	1	11	0	0	0	528	203	80	14	-1	
3	1	11	1	0	0	528	203	80	14	-1	
4	1	11	1	1	0	528	203	80	14	-1	
