level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	844	1200	-1	
2	1	1	0	0	0	83	60	644	1119	-1	
3	1	1	1	0	0	83	60	644	1119	-1	
4	1	1	1	1	0	319	60	157	23	-1	
5	1	1	1	1	1	319	61	94	22	96.568451	Oktober
5	1	1	1	1	2	421	60	55	21	96.971703	2023
4	1	1	1	2	0	356	108	96	21	-1	
5	1	1	1	2	1	356	108	96	21	91.717964	Nagerecht
4	1	1	1	3	0	131	126	544	32	-1	
5	1	1	1	3	1	131	143	77	15	92.869362	Bananen
5	1	1	1	3	2	215	137	21	17	93.162964	rol
5	1	1	1	3	3	249	136	69	21	93.031860	gebakje
5	1	1	1	3	4	325	135	33	15	96.797943	met
5	1	1	1	3	5	364	132	89	17	90.578911	chocolade
5	1	1	1	3	6	460	135	53	16	95.772964	panna
5	1	1	1	3	7	520	131	41	15	94.127937	cotta
5	1	1	1	3	8	568	133	21	12	93.238617	en
5	1	1	1	3	9	595	127	56	17	85.252808	vanille
5	1	1	1	3	10	658	126	17	19	59.964767	ijs
4	1	1	1	4	0	86	151	639	26	-1	
5	1	1	1	4	1	82	142	43	39	36.824699	_
5	1	1	1	4	2	130	142	73	39	29.862099	BANS
5	1	1	1	4	3	211	165	83	3	25.337440	aan
5	1	1	1	4	4	300	163	73	2	25.981247	ee
5	1	1	1	4	5	385	151	340	12	24.856293	nen
4	1	1	1	5	0	128	166	597	31	-1	
5	1	1	1	5	1	128	170	23	27	26.447815	che
5	1	1	1	5	2	290	168	92	19	92.764389	Ingrediénten
5	1	1	1	5	3	389	170	32	10	94.378586	voor
5	1	1	1	5	4	428	166	16	13	92.919113	10
5	1	1	1	5	5	450	167	69	16	91.362267	personen
5	1	1	1	5	6	700	171	25	2	16.424721	S|
4	1	1	1	6	0	96	176	547	35	-1	
5	1	1	1	6	1	96	199	59	12	88.850357	Bananen
5	1	1	1	6	2	161	194	16	13	93.210121	rol
5	1	1	1	6	3	183	193	42	16	92.560112	gebak
5	1	1	1	6	4	320	189	44	13	76.714531	vanille
5	1	1	1	6	5	370	191	17	13	66.527901	is,
5	1	1	1	6	6	518	176	125	16	21.815826	ce
4	1	1	1	7	0	93	203	515	29	-1	
5	1	1	1	7	1	93	218	8	14	69.400795	4
5	1	1	1	7	2	109	216	39	16	72.034027	plakje
5	1	1	1	7	3	153	212	68	15	88.899002	korstdeeg
5	1	1	1	7	4	322	208	24	12	96.267334	500
5	1	1	1	7	5	352	210	13	13	94.243057	gr
5	1	1	1	7	6	370	209	34	10	92.396309	room
5	1	1	1	7	7	528	203	80	14	71.881577	Frangipane;
4	1	1	1	8	0	83	219	528	29	-1	
5	1	1	1	8	1	83	239	2	9	84.783836	|
5	1	1	1	8	2	92	236	7	12	84.783836	5
5	1	1	1	8	3	105	235	59	12	80.555855	bananen
5	1	1	1	8	4	322	227	25	12	96.051331	300
5	1	1	1	8	5	352	229	14	13	93.043930	gr
5	1	1	1	8	6	371	225	31	13	91.151291	melk
5	1	1	1	8	7	528	221	24	12	87.183533	100
5	1	1	1	8	8	557	223	14	12	93.283371	gr
5	1	1	1	8	9	576	219	35	12	79.253883	boter
4	1	1	1	9	0	83	239	643	46	-1	
5	1	1	1	9	1	83	249	2	36	84.177467	|
5	1	1	1	9	2	92	253	61	13	48.547554	Ameretie
5	1	1	1	9	3	158	250	53	15	92.062523	koekjes
5	1	1	1	9	4	322	245	75	13	84.568062	Beidooiers
5	1	1	1	9	5	403	243	29	15	83.379761	,200
5	1	1	1	9	6	437	246	13	12	87.357635	gr
5	1	1	1	9	7	455	242	40	12	84.242401	suiker
5	1	1	1	9	8	519	249	1	3	54.272469	|
5	1	1	1	9	9	528	239	24	13	87.781235	200
5	1	1	1	9	10	557	241	14	13	93.020493	gr
5	1	1	1	9	11	576	240	30	12	39.062325	spijs
5	1	1	1	9	12	725	239	1	14	95.552757	|
4	1	1	1	10	0	94	255	632	30	-1	
5	1	1	1	10	1	94	273	22	12	39.872509	tei
5	1	1	1	10	2	324	265	4	12	80.887695	4
5	1	1	1	10	3	335	264	44	12	91.638992	vanille
5	1	1	1	10	4	384	263	47	15	77.023499	stokjes
5	1	1	1	10	5	519	255	1	13	45.417690	|
5	1	1	1	10	6	529	259	22	11	60.188183	1ei
5	1	1	1	10	7	725	257	1	4	89.826263	|
4	1	1	1	11	0	315	269	293	48	-1	
5	1	1	1	11	1	315	287	1	30	87.766579	|
5	1	1	1	11	2	323	282	93	15	90.751541	kaneelstokjes
5	1	1	1	11	3	421	281	15	12	96.981453	5x
5	1	1	1	11	4	519	269	1	24	95.501213	|
5	1	1	1	11	5	528	277	16	12	95.579430	30
5	1	1	1	11	6	549	278	14	13	93.246330	gr
5	1	1	1	11	7	568	275	40	12	90.963928	bloem
4	1	1	1	12	0	95	294	425	45	-1	
5	1	1	1	12	1	95	328	43	11	96.846046	Panna
5	1	1	1	12	2	144	325	36	13	60.819477	cotta;
5	1	1	1	12	3	519	294	1	19	55.960480	|
4	1	1	1	13	0	95	320	632	40	-1	
5	1	1	1	13	1	95	345	25	13	96.199532	750
5	1	1	1	13	2	125	347	13	13	94.411499	gr
5	1	1	1	13	3	144	346	38	11	95.800102	room,
5	1	1	1	13	4	189	342	24	12	96.817490	150
5	1	1	1	13	5	219	344	13	13	88.216881	gr
5	1	1	1	13	6	237	340	70	13	91.439102	chocolade
5	1	1	1	13	7	316	328	1	26	92.834198	|
5	1	1	1	13	8	726	320	1	8	96.401192	|
4	1	1	1	14	0	96	360	151	18	-1	
5	1	1	1	14	1	96	364	7	12	93.253906	2
5	1	1	1	14	2	109	363	39	15	91.159790	lepels
5	1	1	1	14	3	153	361	44	13	71.194275	vanille
5	1	1	1	14	4	203	360	44	14	92.229881	suiker,
4	1	1	1	15	0	96	366	425	31	-1	
5	1	1	1	15	1	96	381	87	16	76.503647	3bigelatine,
5	1	1	1	15	2	199	378	95	13	42.013916	1dlCointreau
5	1	1	1	15	3	317	369	1	24	84.287117	|
5	1	1	1	15	4	520	366	1	11	94.864288	|
4	1	1	1	16	0	89	380	638	42	-1	
5	1	1	1	16	1	89	390	104	32	30.110085	ew)
5	1	1	1	16	2	241	397	114	16	39.287544	ae
5	1	1	1	16	3	478	403	12	1	24.592621	A
5	1	1	1	16	4	584	380	29	22	30.437126	ate
4	1	1	1	17	0	90	442	80	15	-1	
5	1	1	1	17	1	90	442	80	15	88.740891	Werkwijze:
4	1	1	1	18	0	93	476	142	16	-1	
5	1	1	1	18	1	93	481	64	11	91.615372	Bananen
5	1	1	1	18	2	163	478	18	12	93.305252	rol
5	1	1	1	18	3	187	476	48	16	90.878998	gebak:
4	1	1	1	19	0	119	477	563	34	-1	
5	1	1	1	19	1	119	503	5	6	0.000000	®
5	1	1	1	19	2	144	497	70	14	73.823524	Korstdeeg
5	1	1	1	19	3	224	494	41	15	86.769775	beetje
5	1	1	1	19	4	271	492	52	13	88.465935	ondooid
5	1	1	1	19	5	329	492	41	13	93.074265	hierop
5	1	1	1	19	6	376	491	29	13	92.271790	spijs
5	1	1	1	19	7	410	488	47	15	70.279236	spuiten
5	1	1	1	19	8	463	486	41	13	91.705322	hierop
5	1	1	1	19	9	509	484	50	11	88.302750	banaan
5	1	1	1	19	10	565	483	10	9	93.299622	in
5	1	1	1	19	11	581	480	50	13	85.320053	reepjes
5	1	1	1	19	12	636	477	46	14	42.473671	legen.
4	1	1	1	20	0	119	493	569	36	-1	
5	1	1	1	20	1	119	522	6	6	0.000000	*
5	1	1	1	20	2	145	517	58	12	45.490490	Hierover
5	1	1	1	20	3	208	515	17	12	92.976089	de
5	1	1	1	20	4	230	513	59	13	76.332726	amaretie
5	1	1	1	20	5	294	511	51	14	89.657120	koekjes
5	1	1	1	20	6	350	508	64	13	91.622551	kruimelen.
5	1	1	1	20	7	424	505	52	15	84.758743	(laatste
5	1	1	1	20	8	482	506	29	11	93.180313	reep
5	1	1	1	20	9	516	504	18	12	76.443253	vrij
5	1	1	1	20	10	540	499	50	13	89.732895	houden
5	1	1	1	20	11	596	498	18	12	93.306129	als
5	1	1	1	20	12	620	496	27	15	92.199692	plak
5	1	1	1	20	13	653	493	35	14	96.534523	rand)
4	1	1	1	21	0	120	517	508	33	-1	
5	1	1	1	21	1	120	536	44	12	0.000000	Nu
5	1	1	1	21	2	170	534	54	16	0.000000	oprolien
5	1	1	1	21	3	229	533	50	12	79.438217	hiervan
5	1	1	1	21	4	284	532	8	10	91.645660	4
5	1	1	1	21	5	302	531	38	11	77.332390	kleine
5	1	1	1	21	6	345	528	51	14	91.496353	koekjes
5	1	1	1	21	7	401	525	46	15	90.510452	snijden
5	1	1	1	21	8	452	526	16	10	96.863007	en
5	1	1	1	21	9	473	525	16	12	94.250214	op
5	1	1	1	21	10	494	524	25	9	91.917625	een
5	1	1	1	21	11	524	519	57	15	88.812737	bakplaat
5	1	1	1	21	12	586	517	42	12	41.788372	zetten.
4	1	1	1	22	0	121	541	398	26	-1	
5	1	1	1	22	1	121	560	5	6	61.462181	«
5	1	1	1	22	2	146	555	35	12	71.298874	Deze
5	1	1	1	22	3	187	554	25	11	67.848083	met
5	1	1	1	22	4	217	555	11	9	67.848083	ei
5	1	1	1	22	5	234	550	67	15	66.014687	bestrijken,
5	1	1	1	22	6	308	547	60	13	85.788010	afbakken
5	1	1	1	22	7	373	546	16	12	96.712959	20
5	1	1	1	22	8	394	547	23	10	96.712959	min
5	1	1	1	22	9	423	546	15	12	93.384949	op
5	1	1	1	22	10	445	542	23	12	92.852356	180
5	1	1	1	22	11	473	541	46	15	86.774155	graden
4	1	1	1	23	0	96	585	69	20	-1	
5	1	1	1	23	1	96	585	69	20	91.628944	vanilleijs:
4	1	1	1	24	0	122	592	443	29	-1	
5	1	1	1	24	1	122	615	6	6	37.317204	ile
5	1	1	1	24	2	148	610	39	11	25.718559	im
5	1	1	1	24	3	193	610	16	10	96.766747	en
5	1	1	1	24	4	215	607	16	12	92.982643	de
5	1	1	1	24	5	236	605	32	13	68.687973	melk
5	1	1	1	24	6	273	607	24	9	80.340714	aan
5	1	1	1	24	7	303	603	15	12	96.911446	de
5	1	1	1	24	8	324	601	31	13	93.290039	kook
5	1	1	1	24	9	360	601	54	13	89.956718	brengen
5	1	1	1	24	10	419	597	24	13	96.963104	met
5	1	1	1	24	11	448	596	16	12	91.732178	de
5	1	1	1	24	12	469	594	44	13	64.094864	kaneel
5	1	1	1	24	13	518	592	47	15	85.486145	stokjes
4	1	1	1	25	0	123	617	252	23	-1	
5	1	1	1	25	1	123	634	5	6	79.568741	«
5	1	1	1	25	2	148	628	63	12	38.444824	Eidooiers
5	1	1	1	25	3	217	626	25	11	96.954834	met
5	1	1	1	25	4	247	624	16	12	92.819839	de
5	1	1	1	25	5	268	623	40	12	92.496193	suiker
5	1	1	1	25	6	313	617	62	22	88.865631	losroeren.
4	1	1	1	26	0	123	638	282	23	-1	
5	1	1	1	26	1	123	648	70	13	39.881317	 Hierop
5	1	1	1	26	2	198	645	11	12	93.089699	al
5	1	1	1	26	3	215	643	60	13	92.350586	roerende
5	1	1	1	26	4	280	642	17	11	96.941444	de
5	1	1	1	26	5	302	642	33	10	95.024147	room
5	1	1	1	26	6	340	642	16	11	93.301285	op
5	1	1	1	26	7	361	638	44	15	84.541824	gieten.
4	1	1	1	27	0	124	648	451	32	-1	
5	1	1	1	27	1	124	672	5	6	36.937489	©
5	1	1	1	27	2	149	667	18	11	61.238956	Dit
5	1	1	1	27	3	172	668	16	12	86.410118	op
5	1	1	1	27	4	194	665	27	13	79.524185	laag
5	1	1	1	27	5	226	665	31	10	92.629837	vuur
5	1	1	1	27	6	261	661	11	12	92.729561	al
5	1	1	1	27	7	277	659	60	13	84.157471	roerende
5	1	1	1	27	8	346	656	55	14	42.554985	zachtjes
5	1	1	1	27	9	406	655	31	11	58.766396	laten
5	1	1	1	27	10	443	651	53	14	92.048271	binden.(
5	1	1	1	27	11	502	651	23	11	92.766685	niet
5	1	1	1	27	12	530	648	45	14	92.766685	koken)
4	1	1	1	28	0	124	674	308	23	-1	
5	1	1	1	28	1	124	690	5	6	8.571617	5
5	1	1	1	28	2	149	684	55	13	79.238655	Nudoor
5	1	1	1	28	3	208	684	25	10	87.223175	een
5	1	1	1	28	4	238	680	29	13	64.793945	zeef
5	1	1	1	28	5	271	679	41	15	91.851074	gieten
5	1	1	1	28	6	317	680	11	9	96.901108	in
5	1	1	1	28	7	333	677	16	11	87.084824	de
5	1	1	1	28	8	355	674	77	16	72.845833	iismachine..
4	1	1	1	29	0	124	703	95	15	-1	
5	1	1	1	29	1	124	709	6	6	48.745491	+
5	1	1	1	29	2	150	703	69	15	23.106094	Ijsdraaien
4	1	1	1	30	0	105	758	91	15	-1	
5	1	1	1	30	1	105	758	91	15	88.614601	:Frangipane;
4	1	1	1	31	0	125	766	303	23	-1	
5	1	1	1	31	1	125	782	6	6	0.000000	s
5	1	1	1	31	2	150	777	36	12	54.440823	Boter
5	1	1	1	31	3	191	778	16	9	96.615547	en
5	1	1	1	31	4	213	774	16	12	93.113327	de
5	1	1	1	31	5	234	775	30	12	87.184013	spijs
5	1	1	1	31	6	269	771	62	12	87.323677	losroeren
5	1	1	1	31	7	337	771	10	9	93.302193	ei
5	1	1	1	31	8	353	766	27	15	90.825554	erbij
5	1	1	1	31	9	386	767	42	11	71.103355	roeren
4	1	1	1	32	0	125	792	169	16	-1	
5	1	1	1	32	1	125	802	6	5	9.124924	*
5	1	1	1	32	2	151	796	41	12	23.194748	Bloem
5	1	1	1	32	3	198	793	45	12	89.647232	erdoor
5	1	1	1	32	4	247	792	47	11	87.832825	roeren.
4	1	1	1	33	0	125	806	255	24	-1	
5	1	1	1	33	1	125	821	6	5	30.775398	©
5	1	1	1	33	2	150	813	59	17	87.273079	Spuitzak
5	1	1	1	33	3	213	811	40	13	92.341621	vullen
5	1	1	1	33	4	258	810	26	11	95.039894	met
5	1	1	1	33	5	288	808	16	12	93.303070	de
5	1	1	1	33	6	309	806	71	15	91.680946	frangipane
4	1	1	1	34	0	102	850	85	14	-1	
5	1	1	1	34	1	102	853	44	11	96.636932	Panna
5	1	1	1	34	2	151	850	36	12	96.741302	cotta
4	1	1	1	35	0	126	851	515	30	-1	
5	1	1	1	35	1	126	875	6	5	34.166351	ine
5	1	1	1	35	2	152	869	39	12	32.366341	oom
5	1	1	1	35	3	197	867	39	12	69.514580	Koken
5	1	1	1	35	4	242	865	25	12	89.894165	met
5	1	1	1	35	5	276	863	16	12	89.894165	de
5	1	1	1	35	6	297	861	42	13	91.377304	vanille
5	1	1	1	35	7	344	860	41	12	92.491013	suiker
5	1	1	1	35	8	389	859	36	11	92.765488	hierin
5	1	1	1	35	9	430	857	17	12	93.299995	de
5	1	1	1	35	10	452	854	64	17	91.060616	geweekte
5	1	1	1	35	11	521	853	54	16	81.416336	gelatine
5	1	1	1	35	12	580	851	61	15	83.425613	oplossen
4	1	1	1	36	0	127	869	514	31	-1	
5	1	1	1	36	1	127	894	5	5	40.313702	«
5	1	1	1	36	2	153	888	22	12	0.000000	 1dI
5	1	1	1	36	3	180	886	66	13	93.305931	Cointreau
5	1	1	1	36	4	251	883	28	15	91.145309	erbij
5	1	1	1	36	5	285	881	64	13	89.554626	schenken
5	1	1	1	36	6	354	882	16	9	94.899002	en
5	1	1	1	36	7	375	878	16	12	94.899002	de
5	1	1	1	36	8	396	875	69	14	86.742584	chocolade
5	1	1	1	36	9	470	872	67	16	68.974190	druppels.(
5	1	1	1	36	10	542	871	45	13	79.168129	erdoor
5	1	1	1	36	11	592	869	49	14	91.813965	roeren)
4	1	1	1	37	0	127	892	320	26	-1	
5	1	1	1	37	1	127	912	5	6	0.369942	*
5	1	1	1	37	2	151	905	60	13	37.824615	Verdelen
5	1	1	1	37	3	217	906	30	10	93.018517	over
5	1	1	1	37	4	251	902	17	12	93.018517	de
5	1	1	1	37	5	273	900	67	14	81.271362	schaaltjes
5	1	1	1	37	6	345	901	16	9	93.121407	en
5	1	1	1	37	7	366	897	32	12	92.982109	koud
5	1	1	1	37	8	399	892	48	23	38.517872	zetten.
4	1	1	1	38	0	103	944	82	14	-1	
5	1	1	1	38	1	103	944	82	14	93.152405	Doorgeven:
4	1	1	1	39	0	128	955	224	20	-1	
5	1	1	1	39	1	128	966	6	6	27.769432	©
5	1	1	1	39	2	157	961	64	14	80.231949	Slagroom
5	1	1	1	39	3	226	961	16	12	96.870155	op
